i,j, cost , travel_time 
11,1, 4.86 , 41.00 
11,2, 2.84 , 24.00 
11,3, 6.65 , 55.00 
11,4, 4.82 , 40.00 
11,5, 7.60 , 63.00 
11,6, 5.61 , 47.00 
11,7, 3.12 , 26.00 
11,8, 8.05 , 67.00 
11,9, 10.06 , 84.00 
11,10, 5.40 , 45.00 
11,11, -   , -   
11,12, 2.92 , 25.00 
11,13, 1.65 , 14.00 
11,14, 5.96 , 50.00 
11,15, 7.48 , 62.00 
12,1, 2.61 , 22.00 
12,2, 2.32 , 20.00 
12,3, 5.29 , 44.00 
12,4, 5.05 , 42.00 
12,5, 6.77 , 56.00 
12,6, 6.80 , 57.00 
12,7, 4.51 , 38.00 
12,8, 8.78 , 73.00 
12,9, 8.59 , 72.00 
12,10, 4.57 , 38.00 
12,11, 2.92 , 25.00 
12,12, -   , -   
12,13, 2.63 , 22.00 
12,14, 3.34 , 28.00 
12,15, 4.92 , 41.00 
13,1, 3.67 , 31.00 
13,2, 1.33 , 11.00 
13,3, 5.06 , 42.00 
13,4, 3.24 , 27.00 
13,5, 5.95 , 50.00 
13,6, 4.42 , 37.00 
13,7, 1.96 , 17.00 
13,8, 6.69 , 56.00 
13,9, 8.44 , 70.00 
13,10, 3.76 , 32.00 
13,11, 1.65 , 14.00 
13,12, 2.63 , 22.00 
13,13, -   , -   
13,14, 4.92 , 41.00 
13,15, 6.31 , 53.00 
14,1, 1.31 , 11.00 
14,2, 3.72 , 31.00 
14,3, 3.47 , 29.00 
14,4, 5.34 , 45.00 
14,5, 5.26 , 44.00 
14,6, 7.59 , 63.00 
14,7, 6.10 , 51.00 
14,8, 8.73 , 73.00 
14,9, 6.04 , 50.00 
14,10, 3.80 , 32.00 
14,11, 5.96 , 50.00 
14,12, 3.34 , 28.00 
14,13, 4.92 , 41.00 
14,14, -   , -   
14,15, 1.58 , 14.00 
15,1, 2.65 , 22.00 
15,2, 5.04 , 42.00 
15,3, 3.45 , 29.00 
15,4, 6.10 , 51.00 
15,5, 5.13 , 43.00 
15,6, 8.37 , 70.00 
15,7, 7.25 , 60.00 
15,8, 9.10 , 76.00 
15,9, 5.11 , 43.00 
15,10, 4.34 , 36.00 
15,11, 7.48 , 62.00 
15,12, 4.92 , 41.00 
15,13, 6.31 , 53.00 
15,14, 1.58 , 14.00 
15,15, -   , -   
1,60, 0.97 , 2.67 
2,60, 0.38 , 1.33 
3,60, 1.11 , 3.33 
4,60, 0.52 , 1.67 
5,60, 1.26 , 3.67 
6,60, 0.81 , 2.33 
7,60, 0.24 , 0.67 
8,60, 1.36 , 4.00 
9,60, 1.93 , 5.33 
10,60, 0.75 , 2.33 
11,60, 0.69 , 2.00 
12,60, 0.90 , 2.67 
13,60, 0.31 , 1.00 
14,60, 1.29 , 3.67 
15,60, 1.59 , 4.67 
1,65, 0.43 , 1.33 
2,65, 0.88 , 2.67 
3,65, 0.39 , 1.33 
4,65, 1.02 , 3.00 
5,65, 0.84 , 2.33 
6,65, 1.58 , 4.67 
7,65, 1.35 , 4.00 
8,65, 1.77 , 5.00 
9,65, 1.09 , 3.33 
10,65, 0.57 , 1.67 
11,65, 1.57 , 4.33 
12,65, 1.08 , 3.00 
13,65, 1.21 , 3.67 
14,65, 0.48 , 1.33 
15,65, 0.51 , 1.67 
1,70, 0.43 , 1.33 
2,70, 0.42 , 1.33 
3,70, 1.08 , 3.00 
4,70, 1.08 , 3.00 
5,70, 1.45 , 4.00 
6,70, 1.56 , 4.33 
7,70, 1.03 , 3.00 
8,70, 2.01 , 5.67 
9,70, 1.90 , 5.33 
10,70, 0.91 , 2.67 
11,70, 0.83 , 2.33 
12,70, 0.25 , 1.00 
13,70, 0.62 , 2.00 
14,70, 0.66 , 2.00 
15,70, 1.05 , 3.00 
1,75, 1.77 , 5.00 
2,75, 2.08 , 6.00 
3,75, 1.13 , 3.33 
4,75, 1.77 , 5.00 
5,75, 0.98 , 3.00 
6,75, 2.14 , 6.00 
7,75, 2.29 , 6.33 
8,75, 1.87 , 5.33 
9,75, 0.27 , 1.00 
10,75, 1.45 , 4.00 
11,75, 2.79 , 8.00 
12,75, 2.41 , 6.67 
13,75, 2.38 , 6.67 
14,75, 1.74 , 5.00 
15,75, 1.48 , 4.33 
1,80, 1.16 , 3.33 
2,80, 1.09 , 3.33 
3,80, 0.56 , 1.67 
4,80, 0.55 , 1.67 
5,80, 0.28 , 1.00 
6,80, 0.90 , 2.67 
7,80, 1.08 , 3.00 
8,80, 0.86 , 2.67 
9,80, 1.01 , 3.00 
10,80, 0.48 , 1.33 
11,80, 1.71 , 5.00 
12,80, 1.61 , 4.67 
13,80, 1.30 , 3.67 
14,80, 1.38 , 4.00 
15,80, 1.42 , 4.00 
1,85, 1.75 , 5.00 
2,85, 1.50 , 4.33 
3,85, 1.20 , 3.33 
4,85, 0.82 , 2.33 
5,85, 0.85 , 2.67 
6,85, 0.68 , 2.00 
7,85, 1.20 , 3.33 
8,85, 0.23 , 0.67 
9,85, 1.47 , 4.33 
10,85, 1.05 , 3.00 
11,85, 1.97 , 5.67 
12,85, 2.07 , 6.00 
13,85, 1.60 , 4.67 
14,85, 1.99 , 5.67 
15,85, 2.07 , 6.00 
1,90, 0.79 , 2.33 
2,90, 0.43 , 1.33 
3,90, 1.34 , 4.00 
4,90, 1.10 , 3.33 
5,90, 1.65 , 4.67 
6,90, 1.47 , 4.33 
7,90, 0.87 , 2.67 
8,90, 2.01 , 5.67 
9,90, 2.19 , 6.33 
10,90, 1.09 , 3.00 
11,90, 0.46 , 1.33 
12,90, 0.30 , 1.00 
13,90, 0.38 , 1.33 
14,90, 1.04 , 3.00 
15,90, 1.43 , 4.00 
1,95, 1.10 , 3.33 
2,95, 0.61 , 2.00 
3,95, 1.03 , 3.00 
4,95, 0.28 , 1.00 
5,95, 1.07 , 3.00 
6,95, 0.52 , 1.67 
7,95, 0.26 , 1.00 
8,95, 1.05 , 3.00 
9,95, 1.78 , 5.00 
10,95, 0.67 , 2.00 
11,95, 0.98 , 3.00 
12,95, 1.18 , 3.33 
13,95, 0.62 , 2.00 
14,95, 1.43 , 4.00 
15,95, 1.67 , 4.67 
1,100, 1.74 , 5.00 
2,100, 1.38 , 4.00 
3,100, 1.32 , 3.67 
4,100, 0.71 , 2.00 
5,100, 1.06 , 3.00 
6,100, 0.36 , 1.00 
7,100, 0.96 , 2.67 
8,100, 0.28 , 1.00 
9,100, 1.74 , 5.00 
10,100, 1.08 , 3.00 
11,100, 1.74 , 5.00 
12,100, 1.96 , 5.67 
13,100, 1.41 , 4.00 
14,100, 2.02 , 5.67 
15,100, 2.16 , 6.00 
1,105, 1.21 , 3.33 
2,105, 1.60 , 4.67 
3,105, 0.67 , 2.00 
4,105, 1.44 , 4.00 
5,105, 0.77 , 2.33 
6,105, 1.92 , 5.33 
7,105, 1.92 , 5.33 
8,105, 1.84 , 5.33 
9,105, 0.38 , 1.33 
10,105, 1.03 , 3.00 
11,105, 2.30 , 6.67 
12,105, 1.86 , 5.33 
13,105, 1.92 , 5.33 
14,105, 1.16 , 3.33 
15,105, 0.90 , 2.67 
1,110, 1.54 , 4.33 
2,110, 1.82 , 5.33 
3,110, 0.87 , 2.67 
4,110, 1.50 , 4.33 
5,110, 0.72 , 2.00 
6,110, 1.89 , 5.33 
7,110, 2.03 , 5.67 
8,110, 1.66 , 4.67 
9,110, 0.05 , 0.33 
10,110, 1.18 , 3.33 
11,110, 2.52 , 7.00 
12,110, 2.17 , 6.00 
13,110, 2.12 , 6.00 
14,110, 1.54 , 4.33 
15,110, 1.32 , 3.67 
1,115, 0.97 , 2.67 
2,115, 1.33 , 3.67 
3,115, 1.67 , 4.67 
4,115, 1.94 , 5.67 
5,115, 2.11 , 6.00 
6,115, 2.45 , 7.00 
7,115, 1.93 , 5.33 
8,115, 2.86 , 8.00 
9,115, 2.32 , 6.67 
10,115, 1.66 , 4.67 
11,115, 1.53 , 4.33 
12,115, 0.83 , 2.33 
13,115, 1.49 , 4.33 
14,115, 0.82 , 2.33 
15,115, 1.08 , 3.00 
1,120, 0.82 , 2.33 
2,120, 1.38 , 4.00 
3,120, 1.34 , 4.00 
4,120, 1.84 , 5.33 
5,120, 1.78 , 5.00 
6,120, 2.40 , 6.67 
7,120, 2.00 , 5.67 
8,120, 2.69 , 7.67 
9,120, 1.83 , 5.33 
10,120, 1.46 , 4.33 
11,120, 1.83 , 5.33 
12,120, 1.11 , 3.33 
13,120, 1.65 , 4.67 
14,120, 0.51 , 1.67 
15,120, 0.55 , 1.67 
1,120, 0.82 , 2.33 
2,120, 1.38 , 4.00 
3,120, 1.34 , 4.00 
4,120, 1.84 , 5.33 
5,120, 1.78 , 5.00 
6,120, 2.40 , 6.67 
7,120, 2.00 , 5.67 
8,120, 2.69 , 7.67 
9,120, 1.83 , 5.33 
10,120, 1.46 , 4.33 
11,120, 1.83 , 5.33 
12,120, 1.11 , 3.33 
13,120, 1.65 , 4.67 
14,120, 0.51 , 1.67 
15,120, 0.55 , 1.67 
1,125, 1.12 , 3.33 
2,125, 0.58 , 1.67 
3,125, 1.52 , 4.33 
4,125, 1.04 , 3.00 
5,125, 1.75 , 5.00 
6,125, 1.26 , 3.67 
7,125, 0.63 , 2.00 
8,125, 1.86 , 5.33 
9,125, 2.37 , 6.67 
10,125, 1.20 , 3.33 
11,125, 0.16 , 0.67 
12,125, 0.71 , 2.00 
13,125, 0.26 , 1.00 
14,125, 1.41 , 4.00 
15,125, 1.78 , 5.00 
1,130, 1.26 , 3.67 
2,130, 1.46 , 4.33 
3,130, 0.54 , 1.67 
4,130, 1.11 , 3.33 
5,130, 0.32 , 1.00 
6,130, 1.50 , 4.33 
7,130, 1.63 , 4.67 
8,130, 1.35 , 4.00 
9,130, 0.41 , 1.33 
10,130, 0.80 , 2.33 
11,130, 2.15 , 6.00 
12,130, 1.86 , 5.33 
13,130, 1.74 , 5.00 
14,130, 1.34 , 4.00 
15,130, 1.21 , 3.67 
1,135, 0.52 , 1.67 
2,135, 1.09 , 3.33 
3,135, 1.08 , 3.00 
4,135, 1.55 , 4.33 
5,135, 1.53 , 4.33 
6,135, 2.11 , 6.00 
7,135, 1.71 , 5.00 
8,135, 2.41 , 6.67 
9,135, 1.68 , 4.67 
10,135, 1.18 , 3.33 
11,135, 1.58 , 4.67 
12,135, 0.88 , 2.67 
13,135, 1.37 , 4.00 
14,135, 0.23 , 0.67 
15,135, 0.45 , 1.33 
1,140, 1.02 , 3.00 
2,140, 0.89 , 2.67 
3,140, 1.70 , 5.00 
4,140, 1.58 , 4.67 
5,140, 2.07 , 6.00 
6,140, 1.95 , 5.67 
7,140, 1.34 , 4.00 
8,140, 2.49 , 7.00 
9,140, 2.53 , 7.00 
10,140, 1.51 , 4.33 
11,140, 0.71 , 2.00 
12,140, 0.38 , 1.33 
13,140, 0.85 , 2.67 
14,140, 1.16 , 3.33 
15,140, 1.55 , 4.33 
1,145, 1.76 , 5.00 
2,145, 1.44 , 4.00 
3,145, 1.30 , 3.67 
4,145, 0.76 , 2.33 
5,145, 1.01 , 3.00 
6,145, 0.48 , 1.33 
7,145, 1.06 , 3.00 
8,145, 0.18 , 0.67 
9,145, 1.67 , 4.67 
10,145, 1.09 , 3.00 
11,145, 1.84 , 5.33 
12,145, 2.02 , 5.67 
13,145, 1.49 , 4.33 
14,145, 2.04 , 5.67 
15,145, 2.15 , 6.00 
1,150, 0.74 , 2.33 
2,150, 1.31 , 3.67 
3,150, 0.75 , 2.33 
4,150, 1.48 , 4.33 
5,150, 1.14 , 3.33 
6,150, 2.04 , 5.67 
7,150, 1.82 , 5.33 
8,150, 2.17 , 6.00 
9,150, 1.08 , 3.00 
10,150, 1.03 , 3.00 
11,150, 1.96 , 5.67 
12,150, 1.36 , 4.00 
13,150, 1.64 , 4.67 
14,150, 0.54 , 1.67 
15,150, 0.20 , 0.67 
