i,j, cost , travel_time 
1,85, 1.75 , 5.00 
2,85, 1.50 , 4.33 
3,85, 1.20 , 3.33 
4,85, 0.82 , 2.33 
5,85, 0.85 , 2.67 
6,85, 0.68 , 2.00 
7,85, 1.20 , 3.33 
8,85, 0.23 , 0.67 
9,85, 1.47 , 4.33 
10,85, 1.05 , 3.00 
1,90, 0.79 , 2.33 
2,90, 0.43 , 1.33 
3,90, 1.34 , 4.00 
4,90, 1.10 , 3.33 
5,90, 1.65 , 4.67 
6,90, 1.47 , 4.33 
7,90, 0.87 , 2.67 
8,90, 2.01 , 5.67 
9,90, 2.19 , 6.33 
10,90, 1.09 , 3.00 
1,95, 1.10 , 3.33 
2,95, 0.61 , 2.00 
3,95, 1.03 , 3.00 
4,95, 0.28 , 1.00 
5,95, 1.07 , 3.00 
6,95, 0.52 , 1.67 
7,95, 0.26 , 1.00 
8,95, 1.05 , 3.00 
9,95, 1.78 , 5.00 
10,95, 0.67 , 2.00 
1,100, 1.74 , 5.00 
2,100, 1.38 , 4.00 
3,100, 1.32 , 3.67 
4,100, 0.71 , 2.00 
5,100, 1.06 , 3.00 
6,100, 0.36 , 1.00 
7,100, 0.96 , 2.67 
8,100, 0.28 , 1.00 
9,100, 1.74 , 5.00 
10,100, 1.08 , 3.00 
1,105, 1.21 , 3.33 
2,105, 1.60 , 4.67 
3,105, 0.67 , 2.00 
4,105, 1.44 , 4.00 
5,105, 0.77 , 2.33 
6,105, 1.92 , 5.33 
7,105, 1.92 , 5.33 
8,105, 1.84 , 5.33 
9,105, 0.38 , 1.33 
10,105, 1.03 , 3.00 
1,110, 1.54 , 4.33 
2,110, 1.82 , 5.33 
3,110, 0.87 , 2.67 
4,110, 1.50 , 4.33 
5,110, 0.72 , 2.00 
6,110, 1.89 , 5.33 
7,110, 2.03 , 5.67 
8,110, 1.66 , 4.67 
9,110, 0.05 , 0.33 
10,110, 1.18 , 3.33 
1,115, 0.97 , 2.67 
2,115, 1.33 , 3.67 
3,115, 1.67 , 4.67 
4,115, 1.94 , 5.67 
5,115, 2.11 , 6.00 
6,115, 2.45 , 7.00 
7,115, 1.93 , 5.33 
8,115, 2.86 , 8.00 
9,115, 2.32 , 6.67 
10,115, 1.66 , 4.67 
1,120, 0.82 , 2.33 
2,120, 1.38 , 4.00 
3,120, 1.34 , 4.00 
4,120, 1.84 , 5.33 
5,120, 1.78 , 5.00 
6,120, 2.40 , 6.67 
7,120, 2.00 , 5.67 
8,120, 2.69 , 7.67 
9,120, 1.83 , 5.33 
10,120, 1.46 , 4.33 
1,120, 0.82 , 2.33 
2,120, 1.38 , 4.00 
3,120, 1.34 , 4.00 
4,120, 1.84 , 5.33 
5,120, 1.78 , 5.00 
6,120, 2.40 , 6.67 
7,120, 2.00 , 5.67 
8,120, 2.69 , 7.67 
9,120, 1.83 , 5.33 
10,120, 1.46 , 4.33 
1,125, 1.12 , 3.33 
2,125, 0.58 , 1.67 
3,125, 1.52 , 4.33 
4,125, 1.04 , 3.00 
5,125, 1.75 , 5.00 
6,125, 1.26 , 3.67 
7,125, 0.63 , 2.00 
8,125, 1.86 , 5.33 
9,125, 2.37 , 6.67 
10,125, 1.20 , 3.33 
1,130, 1.26 , 3.67 
2,130, 1.46 , 4.33 
3,130, 0.54 , 1.67 
4,130, 1.11 , 3.33 
5,130, 0.32 , 1.00 
6,130, 1.50 , 4.33 
7,130, 1.63 , 4.67 
8,130, 1.35 , 4.00 
9,130, 0.41 , 1.33 
10,130, 0.80 , 2.33 
1,135, 0.52 , 1.67 
2,135, 1.09 , 3.33 
3,135, 1.08 , 3.00 
4,135, 1.55 , 4.33 
5,135, 1.53 , 4.33 
6,135, 2.11 , 6.00 
7,135, 1.71 , 5.00 
8,135, 2.41 , 6.67 
9,135, 1.68 , 4.67 
10,135, 1.18 , 3.33 
1,140, 1.02 , 3.00 
2,140, 0.89 , 2.67 
3,140, 1.70 , 5.00 
4,140, 1.58 , 4.67 
5,140, 2.07 , 6.00 
6,140, 1.95 , 5.67 
7,140, 1.34 , 4.00 
8,140, 2.49 , 7.00 
9,140, 2.53 , 7.00 
10,140, 1.51 , 4.33 
1,145, 1.76 , 5.00 
2,145, 1.44 , 4.00 
3,145, 1.30 , 3.67 
4,145, 0.76 , 2.33 
5,145, 1.01 , 3.00 
6,145, 0.48 , 1.33 
7,145, 1.06 , 3.00 
8,145, 0.18 , 0.67 
9,145, 1.67 , 4.67 
10,145, 1.09 , 3.00 
1,150, 0.74 , 2.33 
2,150, 1.31 , 3.67 
3,150, 0.75 , 2.33 
4,150, 1.48 , 4.33 
5,150, 1.14 , 3.33 
6,150, 2.04 , 5.67 
7,150, 1.82 , 5.33 
8,150, 2.17 , 6.00 
9,150, 1.08 , 3.00 
10,150, 1.03 , 3.00 
