i,j,cost,travel_time
5,21,7.84,65
5,22,3.55,30
5,23,3,25
5,24,6.65,55
5,25,8.78,73
6,1,6.35,53
6,2,4.54,38
6,3,5.32,44
6,4,2.27,19
6,5,4.72,39
6,6, -   , -   
6,7,2.52,21
6,8,2.54,22
6,9,7.61,63
6,10,4.05,34
6,11,5.61,47
6,12,6.8,57
6,13,4.42,37
6,14,7.59,63
6,15,8.37,70
6,16,6.79,57
6,17,6.17,51
6,18,4.29,36
6,19,2.59,22
6,20,0.82,7
6,21,10.06,84
6,22,8.15,68
6,23,5.75,48
6,24,3.81,32
6,25,7.77,65
7,1,4.79,40
7,2,2.49,21
7,3,5.02,42
7,4,2.14,18
7,5,5.31,44
7,6,2.52,21
7,7, -   , -   
7,8,4.93,41
7,9,8.12,68
7,10,3.55,30
7,11,3.12,26
7,12,4.51,38
7,13,1.96,17
7,14,6.1,51
7,15,7.25,60
7,16,6.67,56
7,17,7.16,60
7,18,5.71,48
7,19,4.07,34
7,20,2.9,24
7,21,8.28,69
7,22,8.13,68
7,23,7.35,61
7,24,1.47,13
7,25,5.26,44
8,1,7.67,64
8,2,6.46,54
8,3,5.67,47
8,4,3.73,31
8,5,4.32,36
8,6,2.54,22
8,7,4.93,41
8,8, -   , -   
8,9,6.78,56
8,10,4.93,41
8,11,8.05,67
8,12,8.78,73
8,13,6.69,56
8,14,8.73,73
8,15,9.1,76
8,16,6.71,56
8,17,4.99,42
8,18,2.96,25
8,19,2.11,18
8,20,2.04,17
8,21,11.35,94
8,22,7.82,65
8,23,3.9,33
8,24,6.31,53
8,25,10.07,84
9,1,6.05,50
9,2,7.24,60
9,3,3.42,29
9,4,6.04,50
9,5,2.91,25
9,6,7.61,63
9,7,8.12,68
9,8,6.78,56
9,9, -   , -   
9,10,4.71,39
9,11,10.06,84
9,12,8.59,72
9,13,8.44,70
9,14,6.04,50
9,15,5.11,43
9,16,2.15,18
9,17,1.89,16
9,18,3.82,32
9,19,5.12,43
9,20,6.82,57
9,21,8.16,68
9,22,1.72,15
9,23,3.68,31
9,24,9.37,78
9,25,10.8,90
10,1,2.8,24
10,2,2.66,22
10,3,1.47,13
10,4,1.82,16
10,5,2.27,19
10,6,4.05,34
10,7,3.55,30
10,8,4.93,41
10,9,4.71,39
10,10, -   , -   
10,11,5.4,45
10,12,4.57,38
10,13,3.76,32
10,14,3.8,32
10,15,4.34,36
10,16,3.12,26
10,17,4.2,35
10,18,3.61,30
10,19,2.9,24
10,20,3.56,30
10,21,6.42,54
10,22,4.58,38
10,23,5.12,43
10,24,4.69,39
10,25,6.51,54
11,1,4.86,41
11,2,2.84,24
11,3,6.65,55
11,4,4.82,40
11,5,7.6,63
11,6,5.61,47
11,7,3.12,26
11,8,8.05,67
11,9,10.06,84
11,10,5.4,45
11,11, -   , -   
11,12,2.92,25
11,13,1.65,14
11,14,5.96,50
11,15,7.48,62
11,16,8.19,68
11,17,9.55,79
11,18,8.47,70
11,19,6.98,58
11,20,6.01,50
11,21,7.28,61
11,22,9.57,80
11,23,10.11,84
11,24,1.91,16
11,25,2.38,20
12,1,2.61,22
12,2,2.32,20
12,3,5.29,44
12,4,5.05,42
12,5,6.77,56
12,6,6.8,57
12,7,4.51,38
12,8,8.78,73
12,9,8.59,72
12,10,4.57,38
12,11,2.92,25
12,12, -   , -   
12,13,2.63,22
12,14,3.34,28
12,15,4.92,41
12,16,6.49,54
12,17,8.63,72
12,18,8.16,68
12,19,7.11,59
12,20,6.85,57
12,21,4.36,37
12,22,7.68,64
12,23,9.69,81
12,24,4.13,35
12,25,2.27,19
13,1,3.67,31
13,2,1.33,11
13,3,5.06,42
13,4,3.24,27
13,5,5.95,50
13,6,4.42,37
13,7,1.96,17
13,8,6.69,56
13,9,8.44,70
13,10,3.76,32
13,11,1.65,14
13,12,2.63,22
13,13, -   , -   
13,14,4.92,41
13,15,6.31,53
13,16,6.63,55
13,17,7.9,66
13,18,6.85,57
13,19,5.43,45
13,20,4.66,39
13,21,6.72,56
13,22,8.04,67
13,23,8.49,71
13,24,1.6,14
13,25,3.38,28
14,1,1.31,11
14,2,3.72,31
14,3,3.47,29
14,4,5.34,45
14,5,5.26,44
14,6,7.59,63
14,7,6.1,51
14,8,8.73,73
14,9,6.04,50
14,10,3.8,32
14,11,5.96,50
14,12,3.34,28
14,13,4.92,41
14,14, -   , -   
14,15,1.58,14
14,16,3.91,33
14,17,6.69,56
14,18,7.02,58
14,19,6.68,56
14,20,7.26,60
14,21,2.63,22
14,22,4.75,40
14,23,8.21,68
14,24,6.48,54
14,25,5.55,46
15,1,2.65,22
15,2,5.04,42
15,3,3.45,29
15,4,6.1,51
15,5,5.13,43
15,6,8.37,70
15,7,7.25,60
15,8,9.1,76
15,9,5.11,43
15,10,4.34,36
15,11,7.48,62
15,12,4.92,41
15,13,6.31,53
15,14,1.58,14
15,15, -   , -   
15,16,3.17,27
15,17,6.16,51
15,18,6.94,58
15,19,6.99,58
15,20,7.91,66
15,21,3.05,26
15,22,3.58,30
15,23,7.87,66
15,24,7.82,65
15,25,7.13,59
16,1,3.92,33
16,2,5.35,45
16,3,1.65,14
16,4,4.8,40
16,5,2.39,20
16,6,6.79,57
16,7,6.67,56
16,8,6.71,56
16,9,2.15,18
16,10,3.12,26
16,11,8.19,68
16,12,6.49,54
16,13,6.63,55
16,14,3.91,33
16,15,3.17,27
16,16, -   , -   
16,17,2.99,25
16,18,4.09,34
16,19,4.69,39
16,20,6.11,51
16,21,6.17,51
16,22,1.46,13
16,23,4.76,40
16,24,7.76,65
16,25,8.73,73
17,1,6.32,53
17,2,6.86,57
17,3,3.39,28
17,4,5.02,42
17,5,1.95,17
17,6,6.17,51
17,7,7.16,60
17,8,4.99,42
17,9,1.89,16
17,10,4.2,35
17,11,9.55,79
17,12,8.63,72
17,13,7.9,66
17,14,6.69,56
17,15,6.16,51
17,16,2.99,25
17,17, -   , -   
17,18,2.04,17
17,19,3.58,30
17,20,5.35,45
17,21,9.11,76
17,22,3.37,28
17,23,1.86,16
17,24,8.54,71
17,25,10.69,89
18,1,6.28,52
18,2,6.07,51
18,3,3.57,30
18,4,3.67,31
18,5,1.82,16
18,6,4.29,36
18,7,5.71,48
18,8,2.96,25
18,9,3.82,32
18,10,3.61,30
18,11,8.47,70
18,12,8.16,68
18,13,6.85,57
18,14,7.02,58
18,15,6.94,58
18,16,4.09,34
18,17,2.04,17
18,18, -   , -   
18,19,1.73,15
18,20,3.46,29
18,21,9.62,80
18,22,4.99,42
18,23,1.65,14
18,24,7.17,60
18,25,9.98,83
19,1,5.69,47
19,2,4.86,41
19,3,3.57,30
19,4,2.19,19
19,5,2.36,20
19,6,2.59,22
19,7,4.07,34
19,8,2.11,18
19,9,5.12,43
19,10,2.9,24
19,11,6.98,58
19,12,7.11,59
19,13,5.43,45
19,14,6.68,56
19,15,6.99,58
19,16,4.69,39
19,17,3.58,30
19,18,1.73,15
19,19, -   , -   
19,20,1.77,15
19,21,9.31,77
19,22,5.91,49
19,23,3.3,28
19,24,5.54,46
19,25,8.7,72
20,1,6.07,51
20,2,4.54,38
20,3,4.71,39
20,4,1.95,17
20,5,3.96,33
20,6,0.82,7
20,7,2.9,24
20,8,2.04,17
20,9,6.82,57
20,10,3.56,30
20,11,6.01,50
20,12,6.85,57
20,13,4.66,39
20,14,7.26,60
20,15,7.91,66
20,16,6.11,51
20,17,5.35,45
20,18,3.46,29
20,19,1.77,15
20,20, -   , -   
20,21,9.8,81
20,22,7.44,62
20,23,4.94,41
20,24,4.3,36
20,25,8.04,67
21,1,3.73,31
21,2,5.79,48
21,3,6.05,50
21,4,7.86,65
21,5,7.84,65
21,6,10.06,84
21,7,8.28,69
21,8,11.35,94
21,9,8.16,68
21,10,6.42,54
21,11,7.28,61
21,12,4.36,37
21,13,6.72,56
21,14,2.63,22
21,15,3.05,26
21,16,6.17,51
21,17,9.11,76
21,18,9.62,80
21,19,9.31,77
21,20,9.8,81
21,21, -   , -   
21,22,6.61,55
21,23,10.74,89
21,24,8.32,69
21,25,5.97,50
22,1,5.07,42
22,2,6.75,56
22,3,3.11,26
22,4,6.23,52
22,5,3.55,30
22,6,8.15,68
22,7,8.13,68
22,8,7.82,65
22,9,1.72,15
22,10,4.58,38
22,11,9.57,80
22,12,7.68,64
22,13,8.04,67
22,14,4.75,40
22,15,3.58,30
22,16,1.46,13
22,17,3.37,28
22,18,4.99,42
22,19,5.91,49
22,20,7.44,62
22,21,6.61,55
22,22, -   , -   
22,23,5.24,44
22,24,9.21,77
22,25,9.95,83
23,1,7.64,64
23,2,7.66,64
23,3,4.76,40
23,4,5.32,44
23,5,3,25
23,6,5.75,48
23,7,7.35,61
23,8,3.9,33
23,9,3.68,31
23,10,5.12,43
23,11,10.11,84
23,12,9.69,81
23,13,8.49,71
23,14,8.21,68
23,15,7.87,66
23,16,4.76,40
23,17,1.86,16
23,18,1.65,14
23,19,3.3,28
23,20,4.94,41
23,21,10.74,89
23,22,5.24,44
23,23, -   , -   
23,24,8.81,73
23,25,11.58,96
24,1,5.21,44
24,2,2.79,24
24,3,6.12,51
24,4,3.54,30
24,5,6.65,55
24,6,3.81,32
24,7,1.47,13
24,8,6.31,53
24,9,9.37,78
24,10,4.69,39
24,11,1.91,16
24,12,4.13,35
24,13,1.6,14
24,14,6.48,54
24,15,7.82,65
24,16,7.76,65
24,17,8.54,71
24,18,7.17,60
24,19,5.54,46
24,20,4.3,36
24,21,8.32,69
24,22,9.21,77
24,23,8.81,73
24,24, -   , -   
24,25,4.26,36
25,1,4.88,41
25,2,3.91,33
25,3,7.44,62
25,4,6.52,54
25,5,8.78,73
25,6,7.77,65
25,7,5.26,44
25,8,10.07,84
25,9,10.8,90
25,10,6.51,54
25,11,2.38,20
25,12,2.27,19
25,13,3.38,28
25,14,5.55,46
25,15,7.13,59
25,16,8.73,73
25,17,10.69,89
25,18,9.98,83
25,19,8.7,72
25,20,8.04,67
25,21,5.97,50
25,22,9.95,83
25,23,11.58,96
25,24,4.26,36
25,25, -   , -   
1,60, 0.97 , 2.67 
2,60, 0.38 , 1.33 
3,60, 1.11 , 3.33 
4,60, 0.52 , 1.67 
5,60, 1.26 , 3.67 
6,60, 0.81 , 2.33 
7,60, 0.24 , 0.67 
8,60, 1.36 , 4.00 
9,60, 1.93 , 5.33 
10,60, 0.75 , 2.33 
11,60, 0.69 , 2.00 
12,60, 0.90 , 2.67 
13,60, 0.31 , 1.00 
14,60, 1.29 , 3.67 
15,60, 1.59 , 4.67 
16,60, 1.52 , 4.33 
17,60, 1.74 , 5.00 
18,60, 1.43 , 4.00 
19,60, 1.06 , 3.00 
20,60, 0.85 , 2.67 
21,60, 1.83 , 5.33 
22,60, 1.88 , 5.33 
23,60, 1.84 , 5.33 
24,60, 0.42 , 1.33 
25,60, 1.16 , 3.33 
1,65, 0.43 , 1.33 
2,65, 0.88 , 2.67 
3,65, 0.39 , 1.33 
4,65, 1.02 , 3.00 
5,65, 0.84 , 2.33 
6,65, 1.58 , 4.67 
7,65, 1.35 , 4.00 
8,65, 1.77 , 5.00 
9,65, 1.09 , 3.33 
10,65, 0.57 , 1.67 
11,65, 1.57 , 4.33 
12,65, 1.08 , 3.00 
13,65, 1.21 , 3.67 
14,65, 0.48 , 1.33 
15,65, 0.51 , 1.67 
16,65, 0.55 , 1.67 
17,65, 1.20 , 3.33 
18,65, 1.29 , 3.67 
19,65, 1.25 , 3.67 
20,65, 1.46 , 4.33 
21,65, 1.12 , 3.33 
22,65, 0.85 , 2.67 
23,65, 1.58 , 4.67 
24,65, 1.55 , 4.33 
25,65, 1.64 , 4.67 
1,70, 0.43 , 1.33 
2,70, 0.42 , 1.33 
3,70, 1.08 , 3.00 
4,70, 1.08 , 3.00 
5,70, 1.45 , 4.00 
6,70, 1.56 , 4.33 
7,70, 1.03 , 3.00 
8,70, 2.01 , 5.67 
9,70, 1.90 , 5.33 
10,70, 0.91 , 2.67 
11,70, 0.83 , 2.33 
12,70, 0.25 , 1.00 
13,70, 0.62 , 2.00 
14,70, 0.66 , 2.00 
15,70, 1.05 , 3.00 
16,70, 1.38 , 4.00 
17,70, 1.91 , 5.33 
18,70, 1.81 , 5.00 
19,70, 1.57 , 4.33 
20,70, 1.54 , 4.33 
21,70, 1.06 , 3.00 
22,70, 1.69 , 4.67 
23,70, 2.19 , 6.33 
24,70, 1.02 , 3.00 
25,70, 0.80 , 2.33 
1,75, 1.77 , 5.00 
2,75, 2.08 , 6.00 
3,75, 1.13 , 3.33 
4,75, 1.77 , 5.00 
5,75, 0.98 , 3.00 
6,75, 2.14 , 6.00 
7,75, 2.29 , 6.33 
8,75, 1.87 , 5.33 
9,75, 0.27 , 1.00 
10,75, 1.45 , 4.00 
11,75, 2.79 , 8.00 
12,75, 2.41 , 6.67 
13,75, 2.38 , 6.67 
14,75, 1.74 , 5.00 
15,75, 1.48 , 4.33 
16,75, 0.79 , 2.33 
17,75, 0.63 , 2.00 
18,75, 1.14 , 3.33 
19,75, 1.50 , 4.33 
20,75, 1.94 , 5.33 
21,75, 2.24 , 6.33 
22,75, 0.58 , 1.67 
23,75, 1.01 , 3.00 
24,75, 2.61 , 7.33 
25,75, 2.97 , 8.33 
1,80, 1.16 , 3.33 
2,80, 1.09 , 3.33 
3,80, 0.56 , 1.67 
4,80, 0.55 , 1.67 
5,80, 0.28 , 1.00 
6,80, 0.90 , 2.67 
7,80, 1.08 , 3.00 
8,80, 0.86 , 2.67 
9,80, 1.01 , 3.00 
10,80, 0.48 , 1.33 
11,80, 1.71 , 5.00 
12,80, 1.61 , 4.67 
13,80, 1.30 , 3.67 
14,80, 1.38 , 4.00 
15,80, 1.42 , 4.00 
16,80, 0.84 , 2.33 
17,80, 0.71 , 2.00 
18,80, 0.43 , 1.33 
19,80, 0.34 , 1.00 
20,80, 0.71 , 2.00 
21,80, 2.04 , 5.67 
22,80, 1.16 , 3.33 
23,80, 0.83 , 2.33 
24,80, 1.43 , 4.00 
25,80, 2.07 , 6.00 
1,85, 1.75 , 5.00 
2,85, 1.50 , 4.33 
3,85, 1.20 , 3.33 
4,85, 0.82 , 2.33 
5,85, 0.85 , 2.67 
6,85, 0.68 , 2.00 
7,85, 1.20 , 3.33 
8,85, 0.23 , 0.67 
9,85, 1.47 , 4.33 
10,85, 1.05 , 3.00 
11,85, 1.97 , 5.67 
12,85, 2.07 , 6.00 
13,85, 1.60 , 4.67 
14,85, 1.99 , 5.67 
15,85, 2.07 , 6.00 
16,85, 1.45 , 4.00 
17,85, 1.03 , 3.00 
18,85, 0.52 , 1.67 
19,85, 0.33 , 1.00 
20,85, 0.50 , 1.67 
21,85, 2.65 , 7.33 
22,85, 1.72 , 5.00 
23,85, 0.80 , 2.33 
24,85, 1.56 , 4.33 
25,85, 2.44 , 7.00 
1,90, 0.79 , 2.33 
2,90, 0.43 , 1.33 
3,90, 1.34 , 4.00 
4,90, 1.10 , 3.33 
5,90, 1.65 , 4.67 
6,90, 1.47 , 4.33 
7,90, 0.87 , 2.67 
8,90, 2.01 , 5.67 
9,90, 2.19 , 6.33 
10,90, 1.09 , 3.00 
11,90, 0.46 , 1.33 
12,90, 0.30 , 1.00 
13,90, 0.38 , 1.33 
14,90, 1.04 , 3.00 
15,90, 1.43 , 4.00 
16,90, 1.69 , 4.67 
17,90, 2.13 , 6.00 
18,90, 1.95 , 5.67 
19,90, 1.64 , 4.67 
20,90, 1.51 , 4.33 
21,90, 1.38 , 4.00 
22,90, 2.02 , 5.67 
23,90, 2.35 , 6.67 
24,90, 0.74 , 2.33 
25,90, 0.54 , 1.67 
1,95, 1.10 , 3.33 
2,95, 0.61 , 2.00 
3,95, 1.03 , 3.00 
4,95, 0.28 , 1.00 
5,95, 1.07 , 3.00 
6,95, 0.52 , 1.67 
7,95, 0.26 , 1.00 
8,95, 1.05 , 3.00 
9,95, 1.78 , 5.00 
10,95, 0.67 , 2.00 
11,95, 0.98 , 3.00 
12,95, 1.18 , 3.33 
13,95, 0.62 , 2.00 
14,95, 1.43 , 4.00 
15,95, 1.67 , 4.67 
16,95, 1.44 , 4.00 
17,95, 1.53 , 4.33 
18,95, 1.17 , 3.33 
19,95, 0.77 , 2.33 
20,95, 0.55 , 1.67 
21,95, 2.02 , 5.67 
22,95, 1.81 , 5.00 
23,95, 1.58 , 4.67 
24,95, 0.62 , 2.00 
25,95, 1.47 , 4.33 
1,100, 1.74 , 5.00 
2,100, 1.38 , 4.00 
3,100, 1.32 , 3.67 
4,100, 0.71 , 2.00 
5,100, 1.06 , 3.00 
6,100, 0.36 , 1.00 
7,100, 0.96 , 2.67 
8,100, 0.28 , 1.00 
9,100, 1.74 , 5.00 
10,100, 1.08 , 3.00 
11,100, 1.74 , 5.00 
12,100, 1.96 , 5.67 
13,100, 1.41 , 4.00 
14,100, 2.02 , 5.67 
15,100, 2.16 , 6.00 
16,100, 1.64 , 4.67 
17,100, 1.33 , 4.00 
18,100, 0.83 , 2.33 
19,100, 0.47 , 1.33 
20,100, 0.25 , 1.00 
21,100, 2.67 , 7.67 
22,100, 1.95 , 5.67 
23,100, 1.15 , 3.33 
24,100, 1.30 , 3.67 
25,100, 2.25 , 6.33 
1,105, 1.21 , 3.33 
2,105, 1.60 , 4.67 
3,105, 0.67 , 2.00 
4,105, 1.44 , 4.00 
5,105, 0.77 , 2.33 
6,105, 1.92 , 5.33 
7,105, 1.92 , 5.33 
8,105, 1.84 , 5.33 
9,105, 0.38 , 1.33 
10,105, 1.03 , 3.00 
11,105, 2.30 , 6.67 
12,105, 1.86 , 5.33 
13,105, 1.92 , 5.33 
14,105, 1.16 , 3.33 
15,105, 0.90 , 2.67 
16,105, 0.26 , 1.00 
17,105, 0.75 , 2.33 
18,105, 1.13 , 3.33 
19,105, 1.35 , 4.00 
20,105, 1.74 , 5.00 
21,105, 1.66 , 4.67 
22,105, 0.12 , 0.67 
23,105, 1.21 , 3.67 
24,105, 2.20 , 6.33 
25,105, 2.42 , 7.00 
1,110, 1.54 , 4.33 
2,110, 1.82 , 5.33 
3,110, 0.87 , 2.67 
4,110, 1.50 , 4.33 
5,110, 0.72 , 2.00 
6,110, 1.89 , 5.33 
7,110, 2.03 , 5.67 
8,110, 1.66 , 4.67 
9,110, 0.05 , 0.33 
10,110, 1.18 , 3.33 
11,110, 2.52 , 7.00 
12,110, 2.17 , 6.00 
13,110, 2.12 , 6.00 
14,110, 1.54 , 4.33 
15,110, 1.32 , 3.67 
16,110, 0.57 , 1.67 
17,110, 0.43 , 1.33 
18,110, 0.92 , 2.67 
19,110, 1.26 , 3.67 
20,110, 1.69 , 4.67 
21,110, 2.08 , 6.00 
22,110, 0.48 , 1.33 
23,110, 0.88 , 2.67 
24,110, 2.34 , 6.67 
25,110, 2.72 , 7.67 
1,115, 0.97 , 2.67 
2,115, 1.33 , 3.67 
3,115, 1.67 , 4.67 
4,115, 1.94 , 5.67 
5,115, 2.11 , 6.00 
6,115, 2.45 , 7.00 
7,115, 1.93 , 5.33 
8,115, 2.86 , 8.00 
9,115, 2.32 , 6.67 
10,115, 1.66 , 4.67 
11,115, 1.53 , 4.33 
12,115, 0.83 , 2.33 
13,115, 1.49 , 4.33 
14,115, 0.82 , 2.33 
15,115, 1.08 , 3.00 
16,115, 1.79 , 5.00 
17,115, 2.49 , 7.00 
18,115, 2.53 , 7.00 
19,115, 2.38 , 6.67 
20,115, 2.42 , 7.00 
21,115, 0.44 , 1.33 
22,115, 1.97 , 5.67 
23,115, 2.86 , 8.00 
24,115, 1.87 , 5.33 
25,115, 1.12 , 3.33 
1,120, 0.82 , 2.33 
2,120, 1.38 , 4.00 
3,120, 1.34 , 4.00 
4,120, 1.84 , 5.33 
5,120, 1.78 , 5.00 
6,120, 2.40 , 6.67 
7,120, 2.00 , 5.67 
8,120, 2.69 , 7.67 
9,120, 1.83 , 5.33 
10,120, 1.46 , 4.33 
11,120, 1.83 , 5.33 
12,120, 1.11 , 3.33 
13,120, 1.65 , 4.67 
14,120, 0.51 , 1.67 
15,120, 0.55 , 1.67 
16,120, 1.34 , 4.00 
17,120, 2.08 , 6.00 
18,120, 2.23 , 6.33 
19,120, 2.17 , 6.00 
20,120, 2.33 , 6.67 
21,120, 0.21 , 0.67 
22,120, 1.44 , 4.00 
23,120, 2.49 , 7.00 
24,120, 2.05 , 5.67 
25,120, 1.57 , 4.33 
1,120, 0.82 , 2.33 
2,120, 1.38 , 4.00 
3,120, 1.34 , 4.00 
4,120, 1.84 , 5.33 
5,120, 1.78 , 5.00 
6,120, 2.40 , 6.67 
7,120, 2.00 , 5.67 
8,120, 2.69 , 7.67 
9,120, 1.83 , 5.33 
10,120, 1.46 , 4.33 
11,120, 1.83 , 5.33 
12,120, 1.11 , 3.33 
13,120, 1.65 , 4.67 
14,120, 0.51 , 1.67 
15,120, 0.55 , 1.67 
16,120, 1.34 , 4.00 
17,120, 2.08 , 6.00 
18,120, 2.23 , 6.33 
19,120, 2.17 , 6.00 
20,120, 2.33 , 6.67 
21,120, 0.21 , 0.67 
22,120, 1.44 , 4.00 
23,120, 2.49 , 7.00 
24,120, 2.05 , 5.67 
25,120, 1.57 , 4.33 
1,125, 1.12 , 3.33 
2,125, 0.58 , 1.67 
3,125, 1.52 , 4.33 
4,125, 1.04 , 3.00 
5,125, 1.75 , 5.00 
6,125, 1.26 , 3.67 
7,125, 0.63 , 2.00 
8,125, 1.86 , 5.33 
9,125, 2.37 , 6.67 
10,125, 1.20 , 3.33 
11,125, 0.16 , 0.67 
12,125, 0.71 , 2.00 
13,125, 0.26 , 1.00 
14,125, 1.41 , 4.00 
15,125, 1.78 , 5.00 
16,125, 1.91 , 5.33 
17,125, 2.23 , 6.33 
18,125, 1.96 , 5.67 
19,125, 1.59 , 4.67 
20,125, 1.35 , 4.00 
21,125, 1.79 , 5.00 
22,125, 2.26 , 6.33 
23,125, 2.37 , 6.67 
24,125, 0.37 , 1.33 
25,125, 0.70 , 2.00 
1,130, 1.26 , 3.67 
2,130, 1.46 , 4.33 
3,130, 0.54 , 1.67 
4,130, 1.11 , 3.33 
5,130, 0.32 , 1.00 
6,130, 1.50 , 4.33 
7,130, 1.63 , 4.67 
8,130, 1.35 , 4.00 
9,130, 0.41 , 1.33 
10,130, 0.80 , 2.33 
11,130, 2.15 , 6.00 
12,130, 1.86 , 5.33 
13,130, 1.74 , 5.00 
14,130, 1.34 , 4.00 
15,130, 1.21 , 3.67 
16,130, 0.43 , 1.33 
17,130, 0.33 , 1.00 
18,130, 0.63 , 2.00 
19,130, 0.89 , 2.67 
20,130, 1.31 , 3.67 
21,130, 1.94 , 5.67 
22,130, 0.61 , 2.00 
23,130, 0.76 , 2.33 
24,130, 1.95 , 5.67 
25,130, 2.39 , 6.67 
1,135, 0.52 , 1.67 
2,135, 1.09 , 3.33 
3,135, 1.08 , 3.00 
4,135, 1.55 , 4.33 
5,135, 1.53 , 4.33 
6,135, 2.11 , 6.00 
7,135, 1.71 , 5.00 
8,135, 2.41 , 6.67 
9,135, 1.68 , 4.67 
10,135, 1.18 , 3.33 
11,135, 1.58 , 4.67 
12,135, 0.88 , 2.67 
13,135, 1.37 , 4.00 
14,135, 0.23 , 0.67 
15,135, 0.45 , 1.33 
16,135, 1.16 , 3.33 
17,135, 1.87 , 5.33 
18,135, 1.98 , 5.67 
19,135, 1.89 , 5.33 
20,135, 2.03 , 5.67 
21,135, 0.43 , 1.33 
22,135, 1.32 , 3.67 
23,135, 2.27 , 6.33 
24,135, 1.77 , 5.00 
25,135, 1.40 , 4.00 
1,140, 1.02 , 3.00 
2,140, 0.89 , 2.67 
3,140, 1.70 , 5.00 
4,140, 1.58 , 4.67 
5,140, 2.07 , 6.00 
6,140, 1.95 , 5.67 
7,140, 1.34 , 4.00 
8,140, 2.49 , 7.00 
9,140, 2.53 , 7.00 
10,140, 1.51 , 4.33 
11,140, 0.71 , 2.00 
12,140, 0.38 , 1.33 
13,140, 0.85 , 2.67 
14,140, 1.16 , 3.33 
15,140, 1.55 , 4.33 
16,140, 2.00 , 5.67 
17,140, 2.53 , 7.00 
18,140, 2.40 , 6.67 
19,140, 2.11 , 6.00 
20,140, 1.99 , 5.67 
21,140, 1.25 , 3.67 
22,140, 2.29 , 6.33 
23,140, 2.79 , 8.00 
24,140, 1.14 , 3.33 
25,140, 0.25 , 1.00 
1,145, 1.76 , 5.00 
2,145, 1.44 , 4.00 
3,145, 1.30 , 3.67 
4,145, 0.76 , 2.33 
5,145, 1.01 , 3.00 
6,145, 0.48 , 1.33 
7,145, 1.06 , 3.00 
8,145, 0.18 , 0.67 
9,145, 1.67 , 4.67 
10,145, 1.09 , 3.00 
11,145, 1.84 , 5.33 
12,145, 2.02 , 5.67 
13,145, 1.49 , 4.33 
14,145, 2.04 , 5.67 
15,145, 2.15 , 6.00 
16,145, 1.59 , 4.67 
17,145, 1.24 , 3.67 
18,145, 0.73 , 2.33 
19,145, 0.42 , 1.33 
20,145, 0.33 , 1.00 
21,145, 2.69 , 7.67 
22,145, 1.89 , 5.33 
23,145, 1.03 , 3.00 
24,145, 1.41 , 4.00 
25,145, 2.34 , 6.67 
1,150, 0.74 , 2.33 
2,150, 1.31 , 3.67 
3,150, 0.75 , 2.33 
4,150, 1.48 , 4.33 
5,150, 1.14 , 3.33 
6,150, 2.04 , 5.67 
7,150, 1.82 , 5.33 
8,150, 2.17 , 6.00 
